id|client_id|serial_no|floor|location|type|capacity_lb|problem_desc|created_at
UNIT083|CLI001|B1-038|B1|Y2 Hallway Fire Rack|HFC-236fa|10||2026-08-27
UNIT084|CLI001|B1-039|B1|Loading Dock Area|HFC-236fa|10||2026-08-27
UNIT085|CLI001|GF-001|GF|Y2 Exit Service Area|Dry Chem|10||2026-08-27
UNIT086|CLI001|GF-006|GF|Yurakuen Hallway|HFC-236fa|10||2026-08-27
UNIT087|CLI001|GF-007|GF|Yurakuen|HFC-236fa|10||2026-08-27
UNIT088|CLI001|GF-008|GF|Yurakuen Hallway|HFC-236fa|10||2026-08-27
UNIT089|CLI001|GF-009|GF|Yurakuen|Dry Chem|10||2026-08-27
UNIT090|CLI001|GF-010|GF|Yurakuen|HFC-236fa|10||2026-08-27
UNIT091|CLI001|GF-011|GF|Corniche Kitchen|HCFC-123|10||2026-08-27
UNIT092|CLI001|GF-013|GF|Corniche Kitchen|Class K|10||2026-08-27
UNIT093|CLI001|GF-015|GF|Corniche Kitchen|HCFC-123|10||2026-08-27
UNIT094|CLI001|GF-016|GF|Corniche Buffet|HFC-236fa|20||2026-08-27
UNIT095|CLI001|GF-017|GF|Corniche Kitchen|HCFC-123|10||2026-08-27
UNIT096|CLI001|GF-018|GF|Yakiniko|HFC-236fa|10||2026-08-27
UNIT097|CLI001|GF-019|GF|Tepan|HFC-236fa|10||2026-08-27
UNIT098|CLI001|GF-020|GF|Tepan|HFC-236fa|10||2026-08-27
UNIT099|CLI001|GF-021|GF|Tepan|HFC-236fa|10||2026-08-27
UNIT100|CLI001|GF-022|GF|Lobby Entrance|Dry Chem|10||2026-08-27
UNIT101|CLI001|GF-023|GF|Lobby Entrance|Dry Chem|10||2026-08-27
UNIT102|CLI001|GF-024|GF|Lobby Entrance|HCFC-123|10||2026-08-27
UNIT103|CLI001|GF-025|GF|Concierge Room|HFC-236fa|10||2026-08-27
UNIT104|CLI001|GF-026|GF|Concierge Room|HFC-236fa|10||2026-08-27
UNIT105|CLI001|GF-027|GF|Lobby Hallway|HCFC-123|10||2026-08-27
UNIT106|CLI001|GF-028|GF|Ballroom Hallway|HFC-236fa|10||2026-08-27
UNIT107|CLI001|GF-029|GF|Ballroom Hallway|HFC-236fa|10||2026-08-27
UNIT108|CLI001|GF-030|GF|Back Alley Hallway|AFFF|10||2026-08-27
UNIT109|CLI001|GF-031|GF|Back Alley Hallway|Dry Chem|10||2026-08-27
UNIT110|CLI001|GF-032|GF|Back Alley Hallway|HFC-236fa|10||2026-08-27
UNIT111|CLI001|GF-033|GF|Back Alley Hallway|HFC-236fa|10||2026-08-27
UNIT112|CLI001|GF-034|GF|Back Alley Hallway|HFC-236fa|10||2026-08-27
UNIT113|CLI001|GF-035|GF|Back Alley Hallway|HFC-236fa|10||2026-08-27
UNIT114|CLI001|GF-036|GF|Back Alley Hallway|HFC-236fa|10||2026-08-27
UNIT115|CLI001|GF-037|GF|Back Alley Hallway|HFC-236fa|10||2026-08-27
UNIT116|CLI001|GF-038|GF|Back Alley Hallway|HFC-236fa|10||2026-08-27
UNIT117|CLI001|GF-039|GF|Back Alley Hallway|HFC-236fa|10||2026-08-27
UNIT118|CLI001|GF-040|GF|Back Alley Hallway|HFC-236fa|10||2026-08-27
UNIT119|CLI001|GF-041|GF|Back Alley Hallway|HFC-236fa|10||2026-08-27
UNIT120|CLI001|GF-042|GF|Back Alley Hallway|HFC-236fa|10||2026-08-27
UNIT121|CLI001|GF-043|GF|Back Alley Hallway|Dry Chem|10||2026-08-27
UNIT122|CLI001|GF-044|GF|Back Alley Hallway|HFC-236fa|10||2026-08-27
UNIT123|CLI001|GF-045|GF|Employee Entrance|HFC-236fa|10||2026-08-27
UNIT124|CLI001|GF-046|GF|Tepan Hallway|HFC-236fa|10||2026-08-27
UNIT125|CLI001|GF-047|GF|Pool Bar|HCFC-123|10||2026-08-27
UNIT126|CLI001|GF-048|GF|Pool Bar|HFC-236fa|10||2026-08-27
UNIT127|CLI001|GF-049|GF|Pool Bar|HFC-236fa|10||2026-08-27
UNIT128|CLI001|GF-050|GF|Pool CR Hallway|HFC-236fa|10||2026-08-27
UNIT129|CLI001|GF-051|GF|Pool CR Hallway|HFC-236fa|10||2026-08-27
UNIT130|CLI001|GF-052|GF|Lobby To Park G. Exit|HCFC-123|10||2026-08-27
UNIT131|CLI001|GF-053|GF|Back Alley Hallway|HFC-236fa|50||2026-08-27
UNIT132|CLI001|GF-054|GF|Lobby Front Desk|HFC-236fa|10||2026-08-27
UNIT133|CLI001|GF-055|GF|GF Kitchen|Class K|10||2026-08-27
UNIT134|CLI001|GF-056|GF|Telex To Lobby|HFC-236fa|10||2026-08-27
UNIT135|CLI001|GF-057|GF|Y8 Electrical Room|Dry Chem|10||2026-08-27
UNIT136|CLI001|GF-058|GF|Telex Back Office|HFC-236fa|10||2026-08-27
UNIT137|CLI001|GF-059|GF|Pool CR Female|HFC-236fa|10||2026-08-27
UNIT138|CLI001|GF-060|GF|Pool CR Male|HFC-236fa|10||2026-08-27
UNIT139|CLI001|GF-061|GF|Lobby Safe Deposit|HFC-236fa|10||2026-08-27
UNIT140|CLI001|2F-001|2F|Y8 Exit|HFC-236fa|10||2026-08-27
UNIT141|CLI001|2F-002|2F|ATM Hallway|HFC-236fa|10||2026-08-27
UNIT142|CLI001|2F-003|2F|Health Club Male HW|HFC-236fa|10||2026-08-27
UNIT143|CLI001|2F-004|2F|Health Club Female HW|HFC-236fa|10||2026-08-27
UNIT144|CLI001|2F-005|2F|HC Female Jacuzzi|HFC-236fa|10||2026-08-27
UNIT145|CLI001|2F-006|2F|HC Gym|HFC-236fa|10||2026-08-27
UNIT146|CLI001|2F-008|2F|HC Male Jacuzzi|HFC-236fa|10||2026-08-27
UNIT147|CLI001|2F-009|2F|Business Center HW FHC|HFC-236fa|10||2026-08-27
UNIT148|CLI001|2F-010|2F|AVR Hallway|HFC-236fa|10||2026-08-27
UNIT149|CLI001|2F-011|2F|AVR|HFC-236fa|10||2026-08-27
UNIT150|CLI001|2F-012|2F|Banquet Entrance Store Room|Dry Chem|10||2026-08-27
UNIT151|CLI001|2F-013|2F|Banquet Hallway|HFC-236fa|10||2026-08-27
UNIT152|CLI001|2F-014|2F|Banquet Hallway|HFC-236fa|10||2026-08-27
UNIT153|CLI001|2F-017|2F|Ruby Hallway|HFC-236fa|10||2026-08-27
UNIT154|CLI001|2F-018|2F|Electrical Dimmer Room|HFC-236fa|10||2026-08-27
UNIT155|CLI001|2F-020|2F|Amethyst FHC|HFC-236fa|10||2026-08-27
UNIT156|CLI001|2F-021|2F|Amethyst Hallway|HFC-236fa|10||2026-08-27
UNIT157|CLI001|2F-022|2F|Y2 Service Area|HFC-236fa|10||2026-08-27
UNIT158|CLI001|2F-023|2F|Y2 Exit|HFC-236fa|10||2026-08-27
UNIT159|CLI001|2F-024|2F|MR AHU 6|HFC-236fa|10||2026-08-27
UNIT160|CLI001|2F-025|2F|MR AHU 6|HFC-236fa|10||2026-08-27
UNIT161|CLI001|2F-027|2F|MR AHU 6|HFC-236fa|10||2026-08-27
UNIT162|CLI001|2F-028|2F|MR AHU 6|Dry Chem|10||2026-08-27
UNIT163|CLI001|2F-029|2F|MR AHU Hallway|HFC-236fa|10||2026-08-27
UNIT164|CLI001|2F-030|2F|Business Center Office|HFC-236fa|10||2026-08-27
UNIT165|CLI001|2F-031|2F|Business Center Office|HFC-236fa|10||2026-08-27
UNIT166|CLI001|5F-001|5F|Y8 Exit|HFC-236fa|10||2026-08-28
UNIT167|CLI001|5F-002|5F|Y8 Hallway|HFC-236fa|10||2026-08-28
UNIT168|CLI001|5F-003|5F|Food & Beverage Office|HFC-236fa|10||2026-08-28
UNIT169|CLI001|5F-004|5F|Clinic Room|HFC-236fa|10||2026-08-28
UNIT170|CLI001|5F-005|5F|Public Relations Office|HFC-236fa|10||2026-08-28
UNIT171|CLI001|5F-006|5F|Sales & Marketing|HFC-236fa|10||2026-08-28
UNIT172|CLI001|5F-007|5F|HR Office|HFC-236fa|10||2026-08-28
UNIT173|CLI001|5F-008|5F|Purchasing Credit & Collection|HFC-236fa|10||2026-08-28
UNIT174|CLI001|5F-009|5F|Accounting|HFC-236fa|10||2026-08-28
UNIT175|CLI001|5F-010|5F|Y2 Hallway|HFC-236fa|10||2026-08-28
UNIT176|CLI001|5F-011|5F|Tiger Infrastructure|HFC-236fa|10||2026-08-28
UNIT177|CLI001|5F-012|5F|Y2 Exit Service Area|HFC-236fa|10||2026-08-28
UNIT178|CLI001|5F-013|5F|Project Office|HCFC-123|10||2026-08-28
UNIT179|CLI001|5F-014|5F|MR 1|AFFF|100||2026-08-28
UNIT180|CLI001|5F-015|5F|MR 1|CO2|100||2026-08-28
UNIT181|CLI001|5F-016|5F|MR 1|Dry Chem|10||2026-08-28
UNIT182|CLI001|5F-017|5F|MR 1|Dry Chem|10||2026-08-28
UNIT183|CLI001|5F-018|5F|MR 1|HFC-236fa|10||2026-08-28
UNIT184|CLI001|5F-019|5F|MR 1|HFC-236fa|10||2026-08-28
UNIT185|CLI001|5F-020|5F|MR AHU 13|HFC-236fa|20||2026-08-28
UNIT186|CLI001|5F-021|5F|MR 1 Outside|HFC-236fa|10||2026-08-28
UNIT187|CLI001|5F-022|5F|MR AHU 11|HFC-236fa|10||2026-08-28
UNIT188|CLI001|5F-023|5F|General Manager Office|HFC-236fa|10||2026-08-28
UNIT189|CLI001|5F-024|5F|Events Office|HFC-236fa|10||2026-08-28
UNIT190|CLI001|5F-025|5F|MR 1|HFC-236fa|10||2026-08-28
UNIT191|CLI001|5F-026|5F|President Room|HFC-236fa|10||2026-08-28
UNIT192|CLI001|5F-027|5F|President Room|Dry Chem|10||2026-08-28
UNIT193|CLI001|6F-001|6F|Y2 Service Area|HFC-236fa|10||2026-08-29
UNIT194|CLI001|6F-002|6F|Y2 Hallway|HFC-236fa|10||2026-08-29
UNIT195|CLI001|6F-004|6F|Y8 Hallway|HFC-236fa|10||2026-08-29
UNIT196|CLI001|6F-005|6F|Y8 Exit|HCFC-123|10||2026-08-29
UNIT197|CLI001|7F-001|7F|Y8 Exit|HFC-236fa|10||2026-08-29
UNIT198|CLI001|7F-003|7F|Y2 Hallway|HFC-236fa|10||2026-08-29
UNIT199|CLI001|7F-005|7F|Y2 Service Area|HCFC-123|10||2026-08-29
UNIT200|CLI001|7F-006|7F|Y8 Hallway|HFC-236fa|10||2026-08-29
UNIT201|CLI001|8F-001|8F|Y2 Service Area|HFC-236fa|10||2026-08-29
UNIT202|CLI001|8F-004|8F|Y8 Hallway|HFC-236fa|10||2026-08-29
UNIT203|CLI001|8F-005|8F|Y8 Exit|HCFC-123|10||2026-08-29
UNIT204|CLI001|8F-006|8F|Y2 Hallway|HFC-236fa|10||2026-08-29
UNIT205|CLI001|9F-001|9F|Y8 Exit|HFC-236fa|10||2026-08-29
UNIT206|CLI001|9F-004|9F|Y2 Exit Service Area|HFC-236fa|10||2026-08-29
UNIT207|CLI001|9F-005|9F|Y8 Hallway|HFC-236fa|10||2026-08-29
UNIT208|CLI001|9F-006|9F|Y2 Hallway|HFC-236fa|10||2026-08-29
UNIT209|CLI001|10F-001|10F|Y2 Exit Service Area|HFC-236fa|10||2026-08-29
UNIT210|CLI001|10F-004|10F|Y8 Exit|HFC-236fa|10||2026-08-29
UNIT211|CLI001|10F-005|10F|Y8 Hallway|HFC-236fa|10||2026-08-29
UNIT212|CLI001|10F-006|10F|Y2 Hallway|HFC-236fa|10||2026-08-29
UNIT213|CLI001|11F-001|11F|Y8 Hallway|HFC-236fa|10||2026-08-29
UNIT214|CLI001|11F-004|11F|Y2 Exit Service Area|HFC-236fa|10||2026-08-29
UNIT215|CLI001|11F-005|11F|Y8 Exit|HFC-236fa|10||2026-08-29
UNIT216|CLI001|11F-006|11F|Y2 Hallway|HFC-236fa|10||2026-08-29
UNIT217|CLI001|12F-001|12F|Y2 Exit Service Area|HFC-236fa|10||2026-08-29
UNIT218|CLI001|12F-004|12F|Y8 Hallway|HFC-236fa|10||2026-08-29
UNIT219|CLI001|12F-005|12F|Y8 Exit|HFC-236fa|10||2026-08-29
UNIT220|CLI001|12F-006|12F|Y2 Hallway|HFC-236fa|10||2026-08-29
UNIT221|CLI001|14F-001|14F|Y8 Hallway|HFC-236fa|10||2026-08-29
UNIT222|CLI001|14F-004|14F|Y2 Exit Service Area|HFC-236fa|10||2026-08-29
UNIT223|CLI001|14F-005|14F|Y8 Exit|HFC-236fa|10||2026-08-29
UNIT224|CLI001|14F-006|14F|Y2 Hallway|HFC-236fa|10||2026-08-29
UNIT225|CLI001|15F-001|15F|Y2 Exit Service Area|HFC-236fa|10||2026-08-29
UNIT226|CLI001|15F-004|15F|Y8 Hallway|HFC-236fa|10||2026-08-29
UNIT227|CLI001|15F-005|15F|Y8 Exit|HFC-236fa|10||2026-08-29
UNIT228|CLI001|15F-006|15F|Y2 Hallway|HFC-236fa|10||2026-08-29
UNIT229|CLI001|16F-001|16F|Y8 Hallway|HFC-236fa|10||2026-08-29
UNIT230|CLI001|16F-004|16F|Y2 Exit Service Area|HFC-236fa|10||2026-08-29
UNIT231|CLI001|16F-005|16F|Y8 Exit|HFC-236fa|10||2026-08-29
UNIT232|CLI001|16F-006|16F|Y2 Hallway|HFC-236fa|10||2026-08-29
UNIT233|CLI001|17F-001|17F|Y2 Exit Service Area|HFC-236fa|10||2026-08-29
UNIT234|CLI001|17F-004|17F|Y8 Hallway|HFC-236fa|10||2026-08-29
UNIT235|CLI001|17F-005|17F|Y8 Exit|HFC-236fa|10||2026-08-29
UNIT236|CLI001|17F-006|17F|Y2 Hallway|HFC-236fa|10||2026-08-29
UNIT237|CLI001|18F-001|18F|Y8 Hallway|HFC-236fa|10||2026-08-29
UNIT238|CLI001|18F-004|18F|Y2 Exit Service Area|HFC-236fa|10||2026-08-29
UNIT239|CLI001|18F-005|18F|Y8 Exit|HFC-236fa|10||2026-08-29
UNIT240|CLI001|18F-006|18F|Y2 Hallway|HFC-236fa|10||2026-08-29
UNIT241|CLI001|19F-001|19F|Y2 Exit Service Area|HFC-236fa|10||2026-08-29
UNIT242|CLI001|19F-004|19F|Y8 Hallway|HFC-236fa|10||2026-08-29
UNIT243|CLI001|19F-005|19F|Y8 Exit|HFC-236fa|10||2026-08-29
UNIT244|CLI001|19F-006|19F|Y2 Hallway|HFC-236fa|10||2026-08-29
UNIT245|CLI001|20F-001|20F|Y8 Hallway|HFC-236fa|10||2026-08-29
UNIT246|CLI001|20F-003|20F|Y2 Hallway|HFC-236fa|10||2026-08-29
UNIT247|CLI001|20F-005|20F|Y2 Exit Service Area|HFC-236fa|10||2026-08-29
UNIT248|CLI001|20F-006|20F|Y8 Exit|HFC-236fa|10||2026-08-29
UNIT249|CLI001|21F-001|21F|Y2 Exit Service Area|HFC-236fa|10||2026-08-29
UNIT250|CLI001|21F-004|21F|Y8 Hallway|HCFC-123|10||2026-08-29
UNIT251|CLI001|21F-005|21F|Y2 Hallway|HFC-236fa|10||2026-08-29
UNIT252|CLI001|21F-006|21F|Y8 Exit|HFC-236fa|10||2026-08-29
UNIT253|CLI001|22F-001|22F|Y8 Exit|HFC-236fa|10||2026-08-29
UNIT254|CLI001|22F-002|22F|Y8 Hallway|HFC-236fa|10||2026-08-29
UNIT255|CLI001|22F-003|22F|Y2 Hallway|HFC-236fa|10||2026-08-29
UNIT256|CLI001|22F-004|22F|Y2 Exit Service Area|HFC-236fa|10||2026-08-29
UNIT257|CLI001|23F-001|23F|Y2 Exit Service Area|HFC-236fa|10||2026-08-29
UNIT258|CLI001|23F-003|23F|Y2 Hallway|HFC-236fa|10||2026-08-29
UNIT259|CLI001|23F-004|23F|Y8 Hallway|HFC-236fa|10||2026-08-29
UNIT260|CLI001|23F-005|23F|Y8 Exit|HFC-236fa|10||2026-08-29
UNIT261|CLI001|24F-001|24F|Y8 Exit|HFC-236fa|10||2026-08-29
UNIT262|CLI001|24F-002|24F|Y8 Hallway|HFC-236fa|10||2026-08-29
UNIT263|CLI001|24F-003|24F|Y2 Hallway|HFC-236fa|10||2026-08-29
UNIT264|CLI001|24F-005|24F|Y2 Exit Service Area|HFC-236fa|10||2026-08-29
UNIT265|CLI001|25F-001|25F|Y2 Exit Service Area|HFC-236fa|10||2026-08-29
UNIT266|CLI001|25F-002|25F|Y2 Hallway|HFC-236fa|10||2026-08-29
UNIT267|CLI001|25F-004|25F|Y8 Hallway|HFC-236fa|10||2026-08-29
UNIT268|CLI001|25F-005|25F|Y8 Diamond Club|Class K|10||2026-08-29
UNIT269|CLI001|25F-006|25F|Y8 Diamond Club|HCFC-123|10||2026-08-29
UNIT270|CLI001|25F-007|25F|Y8 Exit|HFC-236fa|10||2026-08-29
UNIT271|CLI001|26F-001|26F|Y8 Exit|HFC-236fa|10||2026-08-29
UNIT272|CLI001|26F-002|26F|Y8 Hallway|HFC-236fa|10||2026-08-29
UNIT273|CLI001|26F-004|26F|Y2 Hallway|HFC-236fa|10||2026-08-29
UNIT274|CLI001|26F-006|26F|Y2 Exit Service Area|HFC-236fa|10||2026-08-29
UNIT275|CLI001|27F-001|27F|Y2 Fire Rack HW|HFC-236fa|10||2026-08-29
UNIT276|CLI001|27F-002|27F|Y2 Kitchen|HFC-236fa|10||2026-08-29
UNIT277|CLI001|27F-004|27F|Y2 Kitchen|HFC-236fa|10||2026-08-29
UNIT278|CLI001|27F-005|27F|Y2 Kitchen|Class K|10||2026-08-29
UNIT279|CLI001|27F-006|27F|Y2 Hallway FHC|HFC-236fa|10||2026-08-29
UNIT280|CLI001|27F-007|27F|Y2 Hallway|HFC-236fa|10||2026-08-29
UNIT281|CLI001|27F-008|27F|Y8 Hallway FHC|HFC-236fa|10||2026-08-29
UNIT282|CLI001|27F-009|27F|Y8 Exit|HFC-236fa|10||2026-08-29
UNIT283|CLI001|27F-010|27F|Y2 Exit Service Area|HFC-236fa|10||2026-08-29
UNIT284|CLI001|27F-011|27F|Y8 Hallway|HFC-236fa|10||2026-08-29
UNIT285|CLI001|RD-001|Roof Deck|Y8 Exit|HFC-236fa|10||2026-08-29
UNIT286|CLI001|RD-002|Roof Deck|MR 2 AHU|CO2|100||2026-08-29
UNIT287|CLI001|RD-003|Roof Deck|MR 2 AHU|AFFF|50||2026-08-29
UNIT288|CLI001|RD-004|Roof Deck|Y8 MR 2|CO2|100||2026-08-29
UNIT289|CLI001|RD-005|Roof Deck|Y8 Hallway|HFC-236fa|10||2026-08-29
UNIT290|CLI001|RD-006|Roof Deck|Y8 Elevator Machine|Dry Chem|10||2026-08-29
UNIT291|CLI001|RD-007|Roof Deck|Helipad Stair|CO2|100||2026-08-29
UNIT292|CLI001|RD-008|Roof Deck|Helipad Hallway|AFFF|50||2026-08-29
UNIT293|CLI001|RD-009|Roof Deck|Helipad Hallway|AFFF|50||2026-08-29
UNIT294|CLI001|RD-010|Roof Deck|Helipad Hallway|AFFF|100||2026-08-29
UNIT295|CLI001|RD-011|Roof Deck|Helipad Hallway|AFFF|100||2026-08-29
UNIT296|CLI001|RD-012|Roof Deck|Helipad Hallway|AFFF|100||2026-08-29
UNIT297|CLI001|RD-013|Roof Deck|Helipad Cabinet|Dry Chem|20||2026-08-29
UNIT298|CLI001|RD-014|Roof Deck|Helipad Cabinet|Dry Chem|10||2026-08-29
UNIT299|CLI001|RD-015|Roof Deck|Helipad Cabinet|Dry Chem|10||2026-08-29
UNIT300|CLI001|RD-016|Roof Deck|Helipad Stair|AFFF|50||2026-08-29
UNIT301|CLI001|RD-017|Roof Deck|Y2 MR 3|AFFF|100||2026-08-29
UNIT302|CLI001|RD-018|Roof Deck|Y2 MR3 HW|HFC-236fa|10||2026-08-29
UNIT303|CLI001|RD-019|Roof Deck|Y2 MR3 HW|HFC-236fa|10||2026-08-29
UNIT304|CLI001|RD-020|Roof Deck|Y2 MR3 HW|HFC-236fa|10||2026-08-29
UNIT305|CLI001|RD-021|Roof Deck|Y2 AHU|AFFF|100||2026-08-29
UNIT306|CLI001|RD-022|Roof Deck|Y2 AHU|HFC-236fa|10||2026-08-29
UNIT307|CLI001|RD-023|Roof Deck|Y2 Stair Exit|HFC-236fa|10||2026-08-29
UNIT308|CLI001|RD-024|Roof Deck|Y2 Stair|HFC-236fa|10||2026-08-29
UNIT309|CLI001|RD-025|Roof Deck|Y8 Elevator Machine|HFC-236fa|10||2026-08-29
UNIT310|CLI001|RD-026|Roof Deck|Y8 Hallway|HFC-236fa|10||2026-08-29
