unit_id|serial_no|floor|location|type|capacity_lb|date_checked|status|problem_desc|expiration_date
UNIT241|19F-001|19F|Y2 Exit Service Area|HFC-236fa|10||good||
UNIT242|19F-004|19F|Y8 Hallway|HFC-236fa|10||good||
UNIT243|19F-005|19F|Y8 Exit|HFC-236fa|10||good||
UNIT244|19F-006|19F|Y2 Hallway|HFC-236fa|10||good||
UNIT245|20F-001|20F|Y8 Hallway|HFC-236fa|10||good||
UNIT246|20F-003|20F|Y2 Hallway|HFC-236fa|10||good||
UNIT247|20F-005|20F|Y2 Exit Service Area|HFC-236fa|10||good||
UNIT248|20F-006|20F|Y8 Exit|HFC-236fa|10||good||
UNIT249|21F-001|21F|Y2 Exit Service Area|HFC-236fa|10||good||
UNIT250|21F-004|21F|Y8 Hallway|HCFC-123|10||good||
UNIT251|21F-005|21F|Y2 Hallway|HFC-236fa|10||good||
UNIT252|21F-006|21F|Y8 Exit|HFC-236fa|10||good||
UNIT253|22F-001|22F|Y8 Exit|HFC-236fa|10||good||
UNIT254|22F-002|22F|Y8 Hallway|HFC-236fa|10||good||
UNIT255|22F-003|22F|Y2 Hallway|HFC-236fa|10||good||
UNIT256|22F-004|22F|Y2 Exit Service Area|HFC-236fa|10||good||
UNIT257|23F-001|23F|Y2 Exit Service Area|HFC-236fa|10||good||
UNIT258|23F-003|23F|Y2 Hallway|HFC-236fa|10||good||
UNIT259|23F-004|23F|Y8 Hallway|HFC-236fa|10||good||
UNIT260|23F-005|23F|Y8 Exit|HFC-236fa|10||good||
UNIT261|24F-001|24F|Y8 Exit|HFC-236fa|10||good||
UNIT262|24F-002|24F|Y8 Hallway|HFC-236fa|10||good||
UNIT263|24F-003|24F|Y2 Hallway|HFC-236fa|10||good||
UNIT264|24F-005|24F|Y2 Exit Service Area|HFC-236fa|10||good||
UNIT265|25F-001|25F|Y2 Exit Service Area|HFC-236fa|10||good||
UNIT266|25F-002|25F|Y2 Hallway|HFC-236fa|10||good||
UNIT267|25F-004|25F|Y8 Hallway|HFC-236fa|10||good||
UNIT268|25F-005|25F|Y8 Diamond Club|Class K|10||not check|room closed|
UNIT269|25F-006|25F|Y8 Diamond Club|HCFC-123|10||not check|room closed|
UNIT270|25F-007|25F|Y8 Exit|HFC-236fa|10||good||
UNIT271|26F-001|26F|Y8 Exit|HFC-236fa|10||good||
UNIT272|26F-002|26F|Y8 Hallway|HFC-236fa|10||good||
UNIT273|26F-004|26F|Y2 Hallway|HFC-236fa|10||good||
UNIT274|26F-006|26F|Y2 Exit Service Area|HFC-236fa|10||good||
UNIT275|27F-001|27F|Y2 Fire Rack HW|HFC-236fa|10||good||
UNIT276|27F-002|27F|Y2 Kitchen|HFC-236fa|10||good||
UNIT277|27F-004|27F|Y2 Kitchen|HFC-236fa|10||good||
UNIT278|27F-005|27F|Y2 Kitchen|Class K|10||good||
UNIT279|27F-006|27F|Y2 Hallway FHC|HFC-236fa|10||good||
UNIT280|27F-007|27F|Y2 Hallway|HFC-236fa|10||good||
UNIT281|27F-008|27F|Y8 Hallway FHC|HFC-236fa|10||good||
UNIT282|27F-009|27F|Y8 Exit|HFC-236fa|10||good||
UNIT283|27F-010|27F|Y2 Exit Service Area|HFC-236fa|10||good||
UNIT284|27F-011|27F|Y8 Hallway|HFC-236fa|10||good||
UNIT285|RD-001|Roof Deck|Y8 Exit|HFC-236fa|10||good||
UNIT286|RD-002|Roof Deck|MR 2 AHU|CO2|100||defective|hose disalignment|
UNIT287|RD-003|Roof Deck|MR 2 AHU|AFFF|50||not check|room closed|
UNIT288|RD-004|Roof Deck|Y8 MR 2|CO2|100||good||
UNIT289|RD-005|Roof Deck|Y8 Hallway|HFC-236fa|10||good||
UNIT290|RD-006|Roof Deck|Y8 Elevator Machine|Dry Chem|10||good||
UNIT291|RD-007|Roof Deck|Helipad Stair|CO2|100||defective|degraded hose unnecessary|
UNIT292|RD-008|Roof Deck|Helipad Hallway|AFFF|50||good||
UNIT293|RD-009|Roof Deck|Helipad Hallway|AFFF|50||good||
UNIT294|RD-010|Roof Deck|Helipad Hallway|AFFF|100||good||
UNIT295|RD-011|Roof Deck|Helipad Hallway|AFFF|100||good||
UNIT296|RD-012|Roof Deck|Helipad Hallway|AFFF|100||good||
UNIT297|RD-013|Roof Deck|Helipad Cabinet|Dry Chem|20||good||
UNIT298|RD-014|Roof Deck|Helipad Cabinet|Dry Chem|10||good||
UNIT299|RD-015|Roof Deck|Helipad Cabinet|Dry Chem|10||good||
UNIT300|RD-016|Roof Deck|Helipad Stair|AFFF|50||good|handle corrosion, pressure good|
UNIT301|RD-017|Roof Deck|Y2 MR 3|AFFF|100||good||
UNIT302|RD-018|Roof Deck|Y2 MR3 HW|HFC-236fa|10||good|tank corrosion, pressure good|
UNIT303|RD-019|Roof Deck|Y2 MR3 HW|HFC-236fa|10||good||
UNIT304|RD-020|Roof Deck|Y2 MR3 HW|HFC-236fa|10||good||
UNIT305|RD-021|Roof Deck|Y2 AHU|AFFF|100||good||
UNIT306|RD-022|Roof Deck|Y2 AHU|HFC-236fa|10||good||
UNIT307|RD-023|Roof Deck|Y2 Stair Exit|HFC-236fa|10||good||
UNIT308|RD-024|Roof Deck|Y2 Stair|HFC-236fa|10||good||
UNIT309|RD-025|Roof Deck|Y8 Elevator Machine|HFC-236fa|10||good||
UNIT310|RD-026|Roof Deck|Y8 Hallway|HFC-236fa|10||good||
